--- Stage 1 Parameters ---
R_ohm,1.146257e-01
L_ind,0.000000e+00
--- Stage 2 Peak Parameters ---
Peak_1_R,1.002651e-01
Peak_1_C,2.169556e-01
Peak_1_frequency,7.316433e+00
Peak_2_R,1.002651e-01
Peak_2_C,6.672118e+00
Peak_2_frequency,2.379066e-01
Peak_3_R,1.002651e-01
Peak_3_C,2.051902e+02
Peak_3_frequency,7.735949e-03

--- Frequency-Time Domain Peak Fitting Curves Block ---
tau (s),ln(tau),gamma_raw,gamma_fitted_total,gamma_peak_1,gamma_peak_2,gamma_peak_3
8.159852e-01,-2.033591e-01,5.220112e-04,4.849854e-02,1.743158e-06,4.848218e-02,1.462011e-05
8.699961e-01,-1.392665e-01,4.361164e-04,4.739632e-02,1.208647e-06,4.737498e-02,2.013363e-05
9.275820e-01,-7.517403e-02,3.761213e-04,4.602526e-02,8.326728e-07,4.599688e-02,2.754899e-05
9.889797e-01,-1.108152e-02,3.355214e-04,4.441117e-02,5.699830e-07,4.437315e-02,3.745432e-05
1.054441e+00,5.301099e-02,3.090536e-04,4.258384e-02,3.876697e-07,4.253286e-02,5.059535e-05
1.124236e+00,1.171035e-01,2.926804e-04,4.057622e-02,2.619837e-07,4.050805e-02,6.790970e-05
1.198650e+00,1.811960e-01,2.834083e-04,3.842355e-02,1.759135e-07,3.833281e-02,9.056605e-05
1.277990e+00,2.452885e-01,2.790642e-04,3.616242e-02,1.173645e-07,3.604229e-02,1.200084e-04
1.362581e+00,3.093810e-01,2.780795e-04,3.382990e-02,7.780123e-08,3.367182e-02,1.580047e-04
1.452772e+00,3.734735e-01,2.793273e-04,3.146274e-02,5.124468e-08,3.125599e-02,2.067003e-04
1.548933e+00,4.375660e-01,2.819882e-04,2.909657e-02,3.353695e-08,2.882786e-02,2.686734e-04
1.651458e+00,5.016586e-01,2.854625e-04,2.676527e-02,2.180775e-08,2.641825e-02,3.469930e-04
1.760770e+00,5.657511e-01,2.893122e-04,2.450045e-02,1.408999e-08,2.405516e-02,4.452759e-04
1.877317e+00,6.298436e-01,2.932169e-04,2.233105e-02,9.045297e-09,2.176330e-02,5.677408e-04
2.001578e+00,6.939361e-01,2.969650e-04,2.028309e-02,5.769624e-09,1.956383e-02,7.192561e-04
2.134065e+00,7.580286e-01,3.004392e-04,1.837950e-02,3.656661e-09,1.747412e-02,9.053770e-04
2.275321e+00,8.221211e-01,3.036289e-04,1.664014e-02,2.302684e-09,1.550777e-02,1.132369e-03
2.425927e+00,8.862136e-01,3.066479e-04,1.508185e-02,1.440776e-09,1.367464e-02,1.407209e-03
2.586501e+00,9.503061e-01,3.097553e-04,1.371862e-02,8.957176e-10,1.198105e-02,1.737569e-03
2.757705e+00,1.014399e+00,3.134037e-04,1.256181e-02,5.532968e-10,1.043005e-02,2.131757e-03
2.940240e+00,1.078491e+00,3.182796e-04,1.162038e-02,3.395922e-10,9.021738e-03,2.598640e-03
3.134857e+00,1.142584e+00,3.253754e-04,1.090117e-02,2.070951e-10,7.753657e-03,3.147508e-03
3.342357e+00,1.206676e+00,3.360684e-04,1.040909e-02,1.254857e-10,6.621181e-03,3.787913e-03
3.563591e+00,1.270769e+00,3.522130e-04,1.014739e-02,7.554943e-11,5.617936e-03,4.529453e-03
3.799469e+00,1.334861e+00,3.762516e-04,1.011771e-02,4.519399e-11,4.736206e-03,5.381507e-03
4.050959e+00,1.398954e+00,4.112988e-04,1.032025e-02,2.686226e-11,3.967317e-03,6.352937e-03
4.319096e+00,1.463046e+00,4.611876e-04,1.075373e-02,1.586416e-11,3.301989e-03,7.451739e-03
4.604982e+00,1.527139e+00,5.303858e-04,1.141532e-02,9.309017e-12,2.730655e-03,8.684668e-03
4.909790e+00,1.591231e+00,6.237009e-04,1.230056e-02,5.427542e-12,2.243730e-03,1.005683e-02
5.234774e+00,1.655324e+00,7.457091e-04,1.340313e-02,3.144235e-12,1.831837e-03,1.157129e-02
5.581269e+00,1.719416e+00,8.999906e-04,1.471462e-02,1.809836e-12,1.485988e-03,1.322863e-02
